hopeful-surf-142,gallant-river-141,dauntless-voice-140,robust-hill-139,devout-breeze-136,peach-shadow-134,neat-firefly-130,kind-sound-128,glowing-monkey-126,misty-moon-124
20,0,67,75,72,0,82,65,74,80
0,0,63,76,78,0,0,76,81,70
0,0,78,0,81,0,0,75,71,71
0,36,66,72,71,0,75,74,64,75
0,0,58,76,78,0,0,0,72,64
0,12,69,70,67,54,68,79,67,67
0,0,66,73,76,0,0,70,69,72
0,0,72,68,69,0,0,79,74,72
20,0,75,0,81,0,82,72,86,0
0,0,61,73,74,70,0,77,76,79
0,0,64,0,76,61,83,84,69,62
0,0,66,69,76,53,0,76,63,78
0,58,76,75,77,0,80,65,74,74
0,0,68,79,76,62,67,80,81,81
0,0,61,79,80,53,66,77,72,82
0,0,63,73,69,55,0,79,73,0
0,0,63,78,81,74,76,70,79,75
0,0,72,78,80,67,0,69,78,81
0,0,72,75,76,70,79,72,79,80
0,0,70,77,81,0,81,85,79,81
0,0,79,84,82,61,0,83,80,76
0,0,75,0,74,0,67,0,78,78
0,0,67,83,81,0,86,77,78,83
0,0,72,78,80,70,0,0,78,76
0,0,75,67,82,61,0,78,82,79
0,0,67,0,80,67,0,79,82,80
0,0,74,79,83,0,80,0,86,83
0,0,72,83,82,74,83,83,75,83
0,0,75,76,83,0,0,81,85,78
0,0,78,79,85,0,0,81,79,81
0,0,78,78,83,78,86,84,77,80
0,0,73,78,84,76,84,77,80,77
0,0,75,85,78,81,81,82,85,75
0,0,76,76,82,0,0,84,73,82
0,0,75,80,79,0,76,70,84,82
0,0,79,75,84,79,62,82,86,90
0,0,79,77,84,86,0,79,85,81
0,0,82,85,82,79,0,84,80,0
0,0,77,83,84,80,87,0,82,88
0,0,78,80,0,0,86,81,80,85
0,0,81,82,88,79,81,0,86,80
0,0,84,86,87,0,0,87,83,88
0,0,83,83,82,78,83,85,81,81
0,0,77,76,83,77,0,83,82,84
0,0,80,87,84,84,0,85,84,84
0,0,85,84,86,85,83,81,85,87
0,0,81,82,87,79,85,84,84,87
0,0,82,0,87,85,83,88,86,89
0,0,82,79,86,87,89,0,87,88
0,0,85,87,87,84,0,80,89,88
0,0,84,0,86,85,0,88,88,86
0,0,83,84,83,84,84,87,80,86
0,0,83,90,87,87,89,83,86,91
69,0,81,83,83,83,0,86,81,85
0,0,78,0,87,80,0,85,80,81
0,0,80,81,89,82,0,81,84,83
0,0,78,75,83,83,0,82,88,84
0,0,80,89,81,87,90,89,81,90
0,0,82,86,86,82,64,82,85,87
0,0,80,86,82,82,84,87,81,83
0,0,87,89,82,87,0,88,87,85
0,0,81,0,79,82,77,86,81,82
0,0,81,86,84,86,87,86,86,88
0,0,85,80,85,84,86,0,82,83
70,0,85,84,85,0,0,86,83,86
83,0,81,78,85,84,87,82,82,86
72,0,79,83,85,81,0,89,84,83
0,0,86,82,88,86,82,85,88,85
0,0,86,89,84,83,86,86,81,86
70,0,82,83,88,82,0,85,84,87
0,0,83,84,86,88,90,90,83,83
0,0,84,85,89,81,0,87,81,86
67,0,80,84,87,80,0,85,80,87
81,0,0,0,0,0,0,88,82,0
0,0,84,87,82,80,0,82,80,82
46,0,87,80,84,84,88,85,86,86
47,0,81,82,80,81,88,81,82,83
0,0,89,0,86,75,46,83,87,86
68,0,79,82,84,79,63,84,88,83
0,0,86,0,0,84,0,82,0,0
53,0,83,86,81,85,0,82,82,82
65,0,84,83,90,82,66,87,85,84
0,0,85,83,86,84,0,87,84,88
0,0,83,0,86,86,79,83,84,83
0,0,0,0,78,81,0,83,78,83
0,0,84,84,86,84,0,85,84,87
0,0,82,84,86,84,85,87,82,86
0,0,85,85,86,84,0,89,89,86
64,0,85,86,86,86,89,85,81,86
0,0,79,79,83,0,0,81,82,84
0,0,88,84,86,83,83,82,88,87
0,0,82,86,83,84,6,0,84,82
64,0,80,86,79,84,83,89,81,82
0,0,88,88,87,83,0,87,89,88
0,0,85,87,85,86,83,83,0,82
0,0,80,88,89,84,0,83,87,86
0,0,81,0,86,84,0,86,82,82
0,0,82,0,87,84,0,0,85,84
0,0,84,87,86,82,85,87,88,82
79,0,85,85,84,82,88,87,83,88
