rogue-federation-81,light-rancor-80,carbonite-jawa-79,holographic-emperor-78,galactic-wookie-77,star-bantha-76,scruffy-looking-tie-fighter-74,star-destroyer-72,jedi-tauntaun-70,old-jawa-66
78,75,70,67,75,78,71,66,73,71
73,79,65,62,76,73,70,66,76,75
80,70,65,71,73,68,68,81,68,78
67,70,72,72,68,75,72,61,76,65
78,76,79,78,74,73,75,73,85,74
78,81,79,71,74,72,76,70,72,73
79,70,76,76,73,83,75,76,72,73
80,72,77,73,71,70,77,74,80,77
74,70,76,81,73,74,75,69,77,76
78,62,79,80,69,69,81,69,73,77
82,75,80,75,81,80,75,84,75,80
79,56,62,74,81,79,79,74,78,77
78,77,74,78,81,78,75,66,71,83
80,81,78,75,72,84,77,70,75,79
82,84,71,66,80,79,78,80,74,76
78,78,79,72,81,75,76,83,67,76
81,65,73,79,75,81,73,70,78,80
83,80,81,77,77,73,76,76,79,81
76,75,79,80,82,75,75,82,75,72
80,66,74,78,76,75,81,78,84,80
74,82,82,81,83,83,84,81,82,78
73,78,80,83,77,83,79,78,81,87
77,80,77,84,80,80,82,85,80,74
79,84,73,81,78,82,84,83,84,85
82,73,81,82,79,82,80,79,81,82
82,84,83,78,74,81,79,76,78,77
79,71,78,81,83,78,82,78,75,83
82,77,88,80,83,76,82,79,78,81
86,83,82,76,83,82,83,81,75,76
81,85,84,78,82,80,86,73,83,74
80,76,82,84,87,83,82,85,78,83
80,77,81,83,84,82,79,81,81,84
80,82,87,87,79,83,85,81,79,80
82,88,76,85,81,85,77,76,86,90
78,85,75,79,90,76,82,82,82,80
79,82,81,85,85,84,84,83,80,82
85,77,83,83,85,76,83,85,86,85
83,87,84,83,82,74,86,84,82,86
83,83,79,89,88,89,83,85,83,79
75,80,81,84,85,89,78,78,85,81
85,87,83,85,82,85,83,86,81,87
83,88,81,90,84,87,80,88,80,82
84,84,84,86,83,84,89,85,86,85
88,81,89,84,88,83,88,86,84,86
84,87,88,89,87,84,91,87,87,84
87,90,89,90,86,84,81,88,83,86
84,86,86,87,87,84,83,87,83,86
82,82,85,84,87,82,87,88,88,86
87,82,81,87,87,87,88,85,84,87
84,86,83,85,87,88,83,87,85,88
87,85,88,84,84,85,89,87,88,89
87,84,90,87,82,86,87,87,87,88
88,83,86,87,85,89,86,86,83,85
86,86,83,85,88,82,83,87,87,90
88,85,86,87,82,84,84,89,84,85
85,85,82,86,84,89,81,87,85,87
84,85,89,86,83,88,88,86,82,86
86,89,93,85,88,87,86,87,88,85
86,89,90,89,89,87,76,86,84,88
84,84,88,89,86,89,84,82,85,90
86,87,90,87,88,88,86,84,85,87
85,84,88,81,87,90,86,87,86,85
82,83,87,87,87,88,86,86,84,84
89,85,86,89,86,87,81,89,86,82
86,83,86,88,83,88,81,88,83,82
82,89,87,85,84,87,87,83,86,87
85,89,88,82,84,88,86,85,84,77
84,86,88,89,86,87,86,88,85,87
84,85,87,86,83,84,85,83,89,88
83,84,86,88,89,85,83,86,90,84
86,84,86,85,90,89,87,86,89,89
86,86,82,87,90,85,89,81,86,90
88,85,83,83,86,90,83,86,88,86
85,85,84,86,88,85,84,89,89,90
86,81,86,90,85,90,86,89,85,86
86,85,87,89,81,85,86,81,81,83
87,84,83,77,75,86,86,88,85,87
86,87,85,83,88,85,89,87,86,84
87,84,85,87,86,85,86,90,84,86
83,85,87,83,87,89,88,86,87,87
86,83,79,88,86,86,84,85,85,86
82,84,84,80,83,86,84,85,86,91
86,87,76,88,90,89,86,87,84,88
86,85,86,90,85,86,86,84,84,87
87,89,86,90,88,82,84,87,84,85
82,84,86,82,90,83,84,85,84,85
84,88,86,85,89,87,88,86,86,86
87,86,89,84,85,82,86,86,79,82
84,86,87,86,87,85,84,84,87,87
85,80,86,82,86,84,86,88,89,87
86,84,90,86,86,89,87,88,84,83
83,88,86,85,80,88,90,84,83,89
87,89,86,86,87,90,84,84,86,83
85,83,85,87,87,85,86,86,83,83
85,83,84,87,89,84,87,88,83,88
84,85,88,87,87,85,88,88,81,84
85,87,89,88,90,85,87,86,87,88
87,83,89,88,90,88,84,85,81,81
85,86,86,83,88,82,83,87,83,88
85,84,87,87,87,87,85,89,86,84
89,88,82,85,85,88,87,87,88,88
86,86,91,84,86,85,85,85,81,86
86,86,87,89,89,85,90,83,86,88
82,89,87,86,83,89,87,87,85,85
87,86,83,83,90,87,88,87,89,88
87,90,86,88,87,86,86,87,86,86
86,88,89,84,89,90,86,88,88,87
85,83,87,83,87,88,82,88,82,89
87,89,86,82,85,83,87,88,87,87
85,79,86,85,83,78,85,85,82,84
88,85,90,86,90,79,84,90,91,88
85,85,84,87,80,87,89,83,82,86
84,88,88,84,87,83,90,87,85,85
87,83,82,88,88,82,84,85,86,86
84,88,86,89,85,82,85,85,87,86
82,85,88,85,91,87,87,89,89,81
82,87,83,87,87,83,89,84,83,89
88,86,86,88,85,88,86,83,80,85
