revived-donkey-71,dandy-paper-70,sleek-music-69,fresh-smoke-68,blooming-blaze-67,legendary-voice-66,neat-galaxy-65,copper-forest-64,good-jazz-63,leafy-flower-62
22,4,8,12,15,20,30,4,5,7
18,9,12,12,15,17,22,18,14,4
12,6,8,9,16,29,21,14,6,10
33,1,13,17,15,24,16,23,19,13
12,5,16,7,12,31,20,16,8,3
13,9,5,9,7,22,16,21,3,16
13,7,7,4,16,24,25,10,2,22
17,4,12,6,12,24,25,7,10,8
23,3,7,14,5,16,16,0,11,9
5,12,22,6,16,14,21,8,8,10
20,0,13,10,12,28,12,7,16,3
19,7,6,11,14,25,13,12,5,12
20,5,9,14,8,19,16,19,10,10
18,4,10,10,20,25,24,9,10,9
17,8,4,11,18,20,20,14,1,13
20,2,7,11,11,20,13,19,7,13
5,1,8,14,10,18,16,26,6,10
22,7,20,14,17,21,22,5,1,2
4,11,4,9,20,21,18,13,3,6
3,3,10,10,12,27,20,27,4,8
3,2,11,11,12,20,8,19,2,7
17,9,14,11,11,33,19,22,7,7
10,3,10,19,12,22,14,26,4,11
15,2,7,17,10,21,18,12,1,10
20,0,18,15,18,28,10,12,7,4
3,14,5,17,28,37,23,14,3,7
26,9,18,9,15,29,20,6,3,6
19,0,17,6,14,21,18,27,0,14
6,3,9,18,15,22,32,19,7,8
5,10,12,10,19,29,19,15,4,11
21,3,14,6,15,28,26,20,0,8
28,13,12,21,18,37,16,14,5,10
12,1,22,11,7,26,24,21,3,18
10,7,11,13,10,23,24,15,3,12
7,0,9,14,17,29,15,20,4,16
27,3,13,11,17,17,21,22,1,11
24,4,18,15,9,26,20,10,3,6
17,7,10,14,16,29,16,17,0,3
23,7,13,15,16,25,18,24,2,14
14,6,4,11,16,28,18,22,5,14
11,3,14,12,12,26,13,23,4,1
17,7,12,11,20,21,16,19,0,11
18,5,4,18,15,27,10,22,2,6
24,4,4,10,9,29,15,14,1,14
14,2,9,15,10,28,18,23,5,10
23,1,8,14,21,30,13,14,0,16
24,9,7,18,20,18,21,31,6,11
17,17,7,14,18,27,28,18,3,17
18,6,4,11,20,18,23,12,0,19
19,11,3,11,17,27,24,17,0,15
21,3,2,12,13,31,14,22,0,14
26,5,2,19,12,21,20,33,1,29
23,13,5,19,11,25,17,24,0,19
32,3,5,14,7,26,33,11,4,10
19,16,1,17,15,20,22,16,5,17
15,7,3,19,14,22,17,17,2,23
16,8,2,18,18,33,19,19,6,7
12,4,6,16,19,22,20,20,1,9
12,5,3,16,17,14,14,16,0,13
23,3,1,17,10,28,29,29,2,9
17,3,2,16,11,20,11,24,9,13
11,11,4,18,15,29,37,22,5,22
28,1,9,17,12,13,20,18,2,13
1,4,13,20,15,16,28,25,2,27
4,3,0,14,8,19,10,21,2,19
9,2,5,14,26,14,18,18,8,14
16,6,4,19,25,21,10,24,2,32
18,0,1,16,18,23,14,16,1,24
28,3,4,12,9,18,13,26,0,28
24,9,1,16,16,15,23,30,2,20
22,10,13,21,10,20,36,11,0,13
22,5,9,21,15,17,20,27,4,11
18,11,4,16,18,17,21,20,5,13
22,5,6,22,24,16,24,18,5,26
1,10,15,17,20,27,11,17,3,19
19,4,13,17,14,18,24,17,2,13
24,4,19,19,9,26,16,20,6,17
11,6,15,18,8,17,17,24,3,22
23,7,11,21,19,18,36,24,3,20
20,3,17,19,6,24,14,26,7,14
14,11,16,15,18,17,18,21,2,19
