imperial-ewok-14,light-ewok-13,rebel-tie-fighter-12,holographic-transport-11,old-rancor-10,star-lightsaber-9,carbonite-destroyer-7,rogue-cruiser-6,scruffy-looking-fleet-4,stellar-fighter-1
77,78,74,72,74,78,70,70,71,77
73,83,79,81,73,73,65,73,65,84
83,80,83,72,77,72,72,73,77,70
88,70,76,83,78,73,72,84,72,79
79,83,74,80,76,72,75,76,72,69
87,92,69,83,79,80,80,80,69,81
80,85,74,74,81,85,82,83,55,82
83,74,76,77,85,74,81,79,66,82
78,76,85,77,75,76,67,84,67,84
72,70,78,76,74,74,76,73,59,74
89,81,71,79,78,82,79,85,58,87
84,77,82,82,81,80,83,82,49,77
79,83,79,76,75,80,64,71,49,86
81,82,79,81,72,74,80,86,57,83
89,82,86,84,80,79,79,90,57,85
81,83,80,87,78,80,74,82,53,85
79,89,80,86,85,87,59,83,50,70
78,81,44,75,81,80,68,82,56,83
91,92,86,89,86,86,77,91,57,82
81,80,89,81,85,84,82,81,50,84
86,74,83,83,84,89,82,81,58,87
84,86,85,87,85,82,85,84,48,76
88,90,85,89,92,92,83,83,51,78
85,76,78,82,81,81,75,85,45,76
74,86,68,86,89,87,77,89,52,88
86,92,80,79,84,89,80,95,59,81
85,88,87,87,86,89,80,89,51,89
88,87,72,87,91,83,80,90,44,85
81,88,54,83,87,90,74,82,48,82
88,82,80,92,88,87,76,88,49,87
89,90,80,87,88,90,82,84,46,86
87,87,64,78,86,86,62,87,49,88
91,87,67,90,89,90,72,84,52,88
89,88,43,89,91,87,72,89,64,90
86,92,54,89,88,82,75,84,72,86
91,86,63,90,89,89,79,85,73,89
86,83,46,88,89,87,63,81,66,88
93,87,50,92,92,91,75,88,84,92
86,83,53,87,83,84,62,88,66,84
84,86,47,84,79,87,56,79,71,88
87,83,54,86,89,80,65,89,70,91
84,85,52,90,91,87,72,91,87,90
90,90,51,89,89,95,72,90,88,90
58,85,55,84,88,84,62,89,71,86
82,89,52,88,84,91,60,86,71,85
87,92,50,93,94,93,69,96,95,95
80,85,46,95,92,92,69,90,95,88
64,87,52,92,88,91,59,92,93,93
59,91,53,93,92,93,59,91,94,89
57,90,49,90,91,90,59,93,89,95
67,90,57,93,93,93,59,91,88,94
53,68,56,91,91,83,60,88,89,89
54,64,52,87,89,89,57,90,87,88
52,64,55,87,89,85,53,89,90,87
55,91,54,93,91,93,65,93,94,91
52,82,64,90,93,95,72,94,90,93
52,87,57,95,96,93,62,95,94,97
54,79,81,87,92,92,59,94,88,92
50,68,85,92,93,95,63,90,91,93
46,90,89,92,91,90,66,95,92,92
49,84,86,87,88,87,60,92,92,88
53,89,91,92,91,88,62,94,93,93
49,89,92,91,95,90,82,92,95,93
49,92,81,91,90,90,63,92,89,92
