floral-haze-96,vibrant-disco-94,denim-cherry-92,major-shadow-90,kind-bush-88,lively-terrain-86,apricot-grass-84,pleasant-donkey-82,chocolate-cosmos-80,proud-dust-78
0,4,24,0,8,-4,4,-30,14,18
-4,9,19,0,9,-6,2,0,30,8
0,2,17,-3,9,4,0,-27,29,18
-8,-2,15,0,10,-2,0,-25,28,21
0,2,22,-4,7,-4,9,-16,23,18
-5,0,18,-4,9,-3,7,-9,28,29
-1,3,16,-3,1,3,-1,-27,31,-9
-4,0,14,-2,6,-4,3,-24,27,17
2,6,22,0,3,-6,0,-32,33,18
-1,5,14,-4,8,-13,2,-28,24,19
1,2,14,0,5,-7,0,40,31,14
0,0,20,0,2,-13,0,-13,20,28
0,13,7,0,3,-5,0,-33,28,25
-4,19,14,0,1,-1,4,42,23,19
-2,4,15,-3,8,-6,8,24,34,20
-2,7,17,0,10,-4,1,-7,24,16
-2,0,14,-2,12,-5,5,35,27,26
-4,3,17,0,14,-2,-1,-35,20,22
5,5,13,-3,-1,-1,3,-18,37,24
12,6,11,1,1,-6,-3,-29,27,18
-6,8,16,0,2,-2,0,-7,34,28
0,-2,17,-2,5,-3,1,39,26,23
1,21,20,0,6,1,6,36,18,23
-4,5,13,1,9,6,6,-31,31,17
2,6,14,0,2,-7,-1,27,40,17
-2,-8,18,-5,-1,-2,6,-22,32,22
-4,12,11,3,2,-3,1,-27,40,30
0,7,9,0,2,0,6,-25,24,20
-7,2,12,2,15,0,4,30,33,30
0,12,11,0,2,-6,-1,28,33,36
0,7,15,5,0,-3,17,-33,36,21
-2,16,8,0,17,-2,2,-22,29,21
1,14,14,2,-2,-2,0,-22,32,28
0,-4,9,4,0,-2,2,-6,24,26
0,13,11,2,9,0,0,-27,30,23
-4,8,14,0,6,-1,6,-26,26,24
-3,7,15,1,0,-1,0,-15,31,27
-3,3,14,-2,13,-1,-6,-30,30,25
0,4,20,2,0,-2,-3,5,31,30
-2,2,15,1,5,0,12,2,14,30
-1,8,20,3,17,-2,-2,-15,42,27
-6,3,21,0,15,-2,4,-8,31,26
6,14,20,0,6,0,1,-27,36,31
0,-1,23,2,6,0,-1,9,35,23
-4,1,14,0,6,-1,-2,3,35,19
0,5,15,-2,10,-2,0,0,38,27
-4,10,13,-2,12,0,-11,-41,37,29
0,3,25,2,20,0,0,2,38,22
0,17,27,-2,15,0,2,-34,43,31
0,9,21,0,18,0,1,-19,38,33
2,0,11,0,13,11,-6,2,28,30
-2,11,21,0,13,2,-9,6,39,26
2,19,25,3,14,-1,-1,-26,41,34
7,7,23,3,18,0,-8,-17,41,35
15,8,31,9,14,2,2,4,40,34
0,3,26,5,12,-2,2,3,39,29
1,10,27,16,18,2,4,4,42,35
10,3,25,-1,16,2,8,-32,46,32
-4,3,25,10,13,0,0,-39,40,31
3,2,31,4,17,1,6,2,32,31
3,4,27,-1,17,0,-2,0,44,30
0,-4,24,9,14,2,0,-27,40,31
15,20,25,5,19,-1,-6,4,43,29
6,21,17,5,14,7,3,16,40,31
15,6,25,5,25,0,-12,18,42,30
6,-3,33,3,20,2,5,9,39,29
18,6,30,3,17,4,0,2,35,31
12,4,24,1,19,4,3,-4,42,29
16,11,24,0,24,2,-1,-15,41,33
18,12,26,6,27,1,-12,-26,45,34
15,1,30,5,23,1,1,-15,45,32
22,3,30,6,19,12,1,-7,46,27
17,7,35,7,22,0,4,-1,44,37
14,14,23,0,20,5,-4,-25,27,30
19,11,22,3,17,0,1,-18,45,29
19,8,24,0,15,9,1,-9,44,30
16,0,23,0,16,3,-2,-23,36,35
7,0,23,1,18,0,-6,-21,41,27
17,6,26,-1,19,15,-5,-13,42,33
17,7,24,0,18,18,0,-22,46,27
25,5,30,0,17,19,5,-14,43,30
23,17,30,0,19,17,12,4,46,30
17,8,24,0,17,4,-10,-7,44,31
22,21,25,2,18,12,6,-11,40,31
6,20,26,2,16,13,17,-9,41,32
18,8,25,-3,18,15,0,2,45,30
-2,13,29,0,17,15,2,-10,46,35
15,11,24,0,23,22,5,-2,46,32
15,-8,29,2,16,12,-11,0,41,35
12,4,31,3,17,12,-1,-12,39,33
22,26,24,0,19,5,2,6,40,33
5,28,21,0,16,13,5,2,45,30
22,8,27,1,16,18,10,-14,39,33
21,4,19,2,18,16,-3,1,46,30
23,9,23,3,20,14,0,5,45,30
14,0,24,2,17,15,-4,1,45,32
26,16,30,-2,20,18,0,-11,40,33
3,5,27,2,25,24,1,5,44,36
23,-1,25,0,18,2,7,-18,44,31
22,19,30,3,20,9,4,2,45,29
21,2,23,2,18,15,7,10,42,30
16,6,24,2,26,5,2,-9,43,31
24,-4,22,5,20,8,0,6,48,31
27,13,22,-12,18,19,9,5,45,34
24,18,26,-1,18,25,2,-18,43,34
15,16,25,0,31,3,7,3,43,31
24,3,23,-5,30,7,10,-17,41,32
25,0,23,3,24,16,18,0,39,31
11,5,23,0,23,10,3,-1,44,29
30,0,24,1,27,10,13,-9,41,33
21,10,25,0,16,17,3,8,40,34
29,17,25,2,24,0,2,2,44,31
19,11,18,4,23,-11,1,9,46,32
12,5,25,1,24,17,-3,-2,36,31
27,2,25,5,22,20,9,4,38,32
27,4,25,3,28,5,5,27,44,30
25,15,8,0,23,0,1,-8,46,29
24,9,26,1,27,23,7,24,47,29
25,0,28,-5,21,12,1,28,43,31
34,10,22,7,27,11,3,29,45,36
25,9,27,5,26,1,1,6,47,32
26,10,31,5,24,-1,1,29,45,34
26,3,25,2,27,19,8,19,44,32
22,4,23,2,24,1,7,8,42,31
31,-2,22,0,21,19,15,-15,44,32
27,4,22,2,19,12,3,23,41,32
28,18,28,4,33,5,11,-10,39,29
31,0,25,4,23,-1,9,15,43,27
24,6,23,0,26,13,4,18,40,26
24,2,25,2,27,9,-2,38,41,27
27,4,23,0,19,1,-3,6,43,30
27,7,22,-1,21,-5,1,12,42,33
30,0,30,4,26,-1,0,25,46,28
20,14,23,2,29,-4,7,16,45,29
23,-1,27,7,33,-3,3,24,44,30
28,-3,32,1,26,13,-2,8,44,33
32,-2,25,4,22,1,11,21,45,30
32,3,14,0,24,-3,8,24,43,31
31,0,31,1,24,1,2,24,40,29
32,8,33,5,28,9,2,34,47,30
31,2,24,0,24,2,8,25,43,34
29,3,23,5,25,-9,6,19,47,33
33,0,21,1,27,-7,-1,24,44,33
33,6,29,12,28,5,11,29,43,33
28,0,25,1,23,-7,11,20,46,28
30,0,21,5,21,-2,0,22,45,32
31,4,22,7,23,2,6,27,45,27
31,10,27,9,23,5,6,13,43,26
30,-8,25,11,28,-1,7,-7,43,31
26,12,23,13,29,2,1,28,45,34
30,0,24,6,29,2,4,23,45,30
32,8,23,5,23,1,3,11,47,33
32,16,25,4,25,13,8,20,42,27
17,-2,25,8,23,8,5,33,46,28
31,0,28,6,25,15,10,30,47,29
36,9,27,12,26,5,-1,39,44,35
26,6,20,2,27,3,-1,16,46,34
36,8,19,10,29,-5,1,-2,47,27
31,-2,23,9,27,0,9,24,40,28
34,12,25,6,23,0,0,15,42,31
32,0,26,8,24,6,9,41,45,29
28,3,25,6,25,20,-1,5,48,33
33,7,25,12,26,0,2,26,40,27
31,8,16,9,25,1,9,45,45,30
32,-2,20,5,25,0,-9,40,45,30
31,9,26,11,24,8,0,36,43,31
32,5,26,8,25,7,13,42,49,29
31,9,22,-2,27,20,-2,31,45,27
33,8,24,10,29,0,4,36,42,30
30,-1,27,3,23,0,6,36,43,31
30,7,22,3,29,10,6,30,45,28
34,9,21,6,24,2,7,32,44,31
28,0,22,4,25,-5,7,37,46,29
25,12,13,0,21,-6,3,33,46,29
30,15,27,2,30,-4,1,29,46,26
27,0,17,3,23,0,6,29,46,27
30,24,20,6,25,1,6,-1,43,36
25,14,21,5,25,-2,6,16,44,25
30,-4,17,7,21,0,6,23,46,28
24,19,19,6,25,-2,-1,35,40,32
33,0,8,2,26,-4,6,-9,46,28
20,28,17,1,24,-4,4,13,46,26
27,16,20,8,27,-2,15,-9,45,26
28,14,14,8,26,-12,7,-2,48,28
29,15,26,10,28,-2,5,-7,44,29
30,4,17,9,27,-2,11,-2,46,28
22,28,17,2,23,9,0,-5,43,26
30,25,14,7,26,0,6,5,48,24
34,21,18,7,24,-5,14,4,43,31
27,10,20,7,27,2,4,9,45,26
33,27,16,6,24,18,0,-3,45,31
29,29,20,3,24,-15,8,-15,47,27
29,16,21,8,25,-2,8,11,44,28
34,5,14,8,25,10,6,-7,41,27
30,2,14,8,27,0,-6,-5,44,34
29,10,16,8,27,-4,17,5,48,27
31,-5,13,7,27,3,3,-2,43,26
30,6,19,5,23,0,17,-5,44,29
28,13,22,6,24,3,3,-6,45,27
24,29,15,2,24,5,1,-2,42,31
27,19,27,7,27,-8,6,5,47,25
28,22,11,8,27,6,7,-7,43,27
28,14,20,9,27,3,2,-7,45,26
27,20,18,8,29,11,2,-5,46,26
31,26,12,10,27,0,6,-11,45,30
32,24,14,8,26,9,6,0,39,29
