lyric-plant-95,golden-cosmos-93,crisp-microwave-91,glamorous-oath-89,smart-water-87,curious-universe-85,zany-leaf-83,sandy-surf-81,vocal-paper-79,azure-rain-77
46,32,41,36,39,6,43,37,38,40
27,23,42,43,41,8,44,44,37,37
42,27,34,30,36,6,36,39,41,39
29,23,43,40,33,14,40,38,32,46
38,22,42,28,39,1,41,34,42,42
40,22,37,41,33,11,36,41,41,35
42,25,40,41,35,4,45,44,42,45
35,24,40,41,44,5,44,34,39,40
34,30,38,43,33,4,32,40,35,36
37,18,39,42,43,2,45,38,36,39
44,17,41,38,35,3,38,38,34,42
41,23,44,42,36,5,37,45,43,49
39,37,41,44,38,-2,35,38,38,39
39,23,43,40,31,11,41,40,44,41
41,29,46,37,39,9,46,44,42,38
40,33,44,39,38,7,41,42,38,45
40,21,43,41,32,9,40,40,40,46
37,24,35,44,41,3,43,38,37,48
35,31,42,36,37,12,43,39,44,39
40,12,34,45,32,4,37,44,41,47
38,28,41,40,40,12,46,43,39,47
40,27,47,42,36,10,45,42,36,46
39,23,40,46,41,10,47,44,42,48
39,31,39,48,37,10,42,37,35,46
43,13,43,41,45,10,46,44,48,41
35,17,42,47,45,1,43,40,42,39
42,10,43,44,43,6,43,40,43,46
40,21,39,45,42,4,42,43,38,47
41,24,45,44,45,5,43,45,39,46
42,21,45,43,38,-2,44,43,41,48
41,25,45,42,38,2,43,43,48,45
39,17,45,44,42,6,45,42,40,40
41,31,39,46,44,9,43,43,44,45
38,25,42,47,43,2,43,42,46,44
43,20,40,44,44,9,45,41,42,49
38,22,43,41,42,1,47,45,47,46
45,30,43,49,42,4,47,41,44,43
44,31,42,46,42,1,41,42,47,42
40,33,41,47,40,4,42,42,46,47
43,25,46,44,44,1,46,47,41,43
43,24,44,46,44,4,47,43,49,45
42,16,45,48,42,4,44,42,42,47
40,9,46,47,37,4,48,43,42,46
38,20,45,46,33,4,47,45,45,46
39,30,47,46,41,9,45,48,43,48
45,39,48,48,39,8,46,48,43,46
41,33,42,48,43,7,50,42,45,48
42,25,50,47,38,9,45,45,44,48
41,24,48,45,36,7,46,45,46,47
44,25,43,49,34,3,47,46,42,47
45,24,46,47,34,10,44,50,46,50
44,43,43,48,42,3,47,44,46,48
40,22,43,45,37,3,42,45,43,48
43,18,38,44,39,4,48,43,43,47
37,22,47,45,32,6,45,44,40,47
43,35,46,46,38,4,49,49,48,48
37,31,42,45,40,7,49,46,39,47
42,17,48,46,39,7,46,44,46,48
45,36,45,49,40,5,46,42,41,49
44,30,41,48,33,5,47,47,23,49
41,31,47,47,34,5,45,45,44,47
44,19,45,47,38,5,47,40,44,47
40,41,43,46,36,9,49,47,47,46
45,35,48,48,29,3,41,48,43,46
46,37,48,50,42,9,47,48,43,49
44,14,46,45,36,3,41,48,42,45
45,12,44,49,29,8,45,39,44,50
46,20,45,49,35,3,43,41,49,49
39,14,46,49,41,6,46,46,43,50
45,36,44,49,35,6,49,46,47,48
44,14,43,48,41,9,46,49,50,47
44,14,47,49,36,9,44,43,42,46
42,24,45,47,33,5,48,48,47,47
47,12,44,49,37,8,47,44,43,48
46,39,46,49,38,6,48,49,45,50
46,41,48,47,38,6,46,44,45,47
46,40,46,49,34,5,46,36,48,49
48,37,40,46,34,8,43,45,43,49
43,34,46,48,35,8,48,44,43,48
43,36,47,48,33,8,48,40,47,45
46,30,42,47,37,8,46,46,42,44
45,42,45,47,40,6,48,38,46,47
45,36,46,47,39,6,45,44,49,46
46,26,49,45,41,10,44,42,44,46
43,41,43,44,37,5,48,44,48,48
45,18,42,49,30,5,45,43,12,47
43,39,47,45,38,3,47,42,46,48
46,32,45,48,34,10,46,43,44,50
48,26,46,48,38,4,44,46,45,43
45,42,43,47,39,12,47,39,20,46
45,28,44,48,36,8,49,45,46,46
44,18,47,44,42,8,48,45,44,43
43,18,44,46,37,7,49,44,44,48
48,18,46,48,34,7,47,41,47,49
47,28,47,50,39,9,48,43,48,49
46,14,46,45,38,2,45,44,48,49
45,22,44,48,41,6,48,42,44,48
45,44,42,45,37,11,46,43,46,50
46,31,46,44,32,7,49,42,41,47
47,40,48,48,32,9,50,47,44,47
46,30,43,46,36,8,49,43,47,47
47,18,43,48,35,5,47,43,45,49
46,28,46,46,39,5,45,45,43,47
47,19,48,48,34,9,46,39,47,49
44,36,46,43,40,5,49,36,44,47
45,39,44,44,38,8,45,38,42,47
46,28,41,48,32,3,47,37,47,50
47,35,46,48,40,7,49,33,44,48
45,43,45,46,38,6,46,41,44,46
48,10,47,47,38,16,47,39,42,44
46,33,48,50,41,7,49,42,45,47
46,42,43,47,37,10,47,38,47,47
45,34,45,49,37,3,45,41,42,49
43,41,43,47,33,5,43,39,42,47
49,29,46,48,37,5,46,38,44,46
47,36,43,49,36,1,49,36,42,44
46,37,43,47,39,5,47,43,45,41
47,30,43,49,36,5,46,35,47,46
45,37,47,47,45,8,48,38,44,48
46,45,44,49,40,8,45,41,41,46
45,35,45,47,34,9,49,38,44,47
46,19,46,50,35,5,49,39,48,49
43,33,45,48,41,7,49,39,40,48
44,30,43,48,36,4,48,36,47,47
48,17,47,50,36,7,45,33,46,47
43,23,45,47,36,9,50,38,46,45
49,33,39,49,35,4,44,35,47,47
46,22,46,44,39,4,50,39,39,48
46,15,45,48,37,6,46,38,46,45
46,26,46,48,37,0,47,40,43,49
42,20,46,49,39,6,46,42,45,47
46,30,46,49,37,6,48,40,44,41
41,16,45,46,38,5,47,38,47,43
46,28,43,49,40,8,47,44,41,44
41,21,47,47,36,4,45,39,43,45
44,33,45,46,42,5,47,37,47,46
45,29,43,48,40,7,46,38,41,46
42,13,44,47,36,8,50,41,41,48
46,36,44,48,34,7,45,40,46,48
43,36,41,49,38,4,48,26,48,49
45,26,45,48,41,5,48,37,45,47
45,26,44,47,37,7,45,38,41,48
45,21,46,49,38,8,46,41,46,48
42,19,43,48,37,5,45,36,45,49
40,32,45,49,42,8,46,29,47,49
46,20,47,49,35,8,47,39,47,50
50,18,44,49,36,5,43,37,45,45
47,17,48,49,39,5,47,35,45,48
47,16,43,48,41,9,48,40,42,44
44,12,43,47,40,6,47,37,40,49
49,21,44,49,40,6,46,42,44,46
44,18,48,49,38,7,47,39,45,47
44,19,43,48,41,12,47,42,42,49
43,17,47,48,32,7,49,33,41,48
46,23,41,46,31,5,47,37,40,45
44,21,46,45,38,7,48,38,41,48
43,26,48,46,38,2,45,40,45,46
44,17,45,49,37,8,48,38,43,49
46,21,46,48,37,3,48,35,47,48
46,36,46,47,38,8,46,36,42,48
46,25,45,45,37,4,46,37,48,48
43,25,45,49,38,7,45,37,48,49
41,10,42,46,40,9,47,44,45,46
42,19,45,47,34,11,45,38,43,44
41,11,41,47,40,5,49,41,47,43
41,20,45,45,36,7,48,38,43,46
43,18,46,50,38,7,47,40,45,48
43,19,43,48,40,4,48,37,48,46
47,17,41,49,37,8,45,37,47,49
45,29,45,48,38,3,45,28,14,45
43,26,42,48,35,7,44,37,45,47
43,14,46,48,37,11,46,36,43,46
38,13,46,48,34,4,49,26,48,47
47,16,46,50,35,4,47,32,41,46
41,17,44,44,30,6,47,35,49,46
39,24,45,47,39,9,47,28,37,50
44,19,42,50,33,7,47,29,45,46
48,14,43,46,42,4,46,36,41,49
40,28,46,49,37,4,46,32,45,46
37,14,44,45,39,6,46,33,43,47
43,17,42,47,37,4,48,24,42,47
46,26,45,49,39,9,48,37,40,47
43,21,46,50,41,4,48,31,42,46
45,31,45,48,38,7,50,42,48,45
44,24,45,47,36,5,49,41,45,46
45,15,45,49,39,5,48,39,44,46
44,22,44,49,34,5,47,31,44,48
43,18,47,45,31,2,47,44,48,46
41,26,47,48,35,4,48,41,42,47
42,32,46,49,36,13,48,26,47,50
44,10,46,49,36,8,48,38,39,47
41,22,44,48,26,6,48,32,47,48
43,24,46,50,37,6,48,27,45,47
40,7,40,48,32,5,49,29,47,49
46,25,42,47,34,5,47,42,44,49
43,31,47,50,33,6,49,32,46,47
41,13,40,48,37,6,47,36,47,44
45,12,45,50,37,3,47,34,43,47
44,14,44,48,38,6,48,40,49,49
48,31,45,47,40,9,49,37,46,47
45,9,45,49,35,4,48,22,46,49
44,7,42,47,38,5,44,34,43,44
43,24,42,46,36,2,48,39,47,45
42,12,46,48,34,5,44,31,42,47
43,24,48,45,32,6,46,33,39,49
46,15,44,47,40,10,45,43,45,47
38,32,46,48,30,6,47,30,45,45
44,17,48,47,37,12,47,43,43,49
38,26,44,47,34,7,48,41,50,44
40,14,47,49,39,5,49,30,47,46
44,19,47,48,33,8,48,31,46,48
47,33,43,45,36,6,48,38,43,47
43,16,41,47,36,5,44,42,48,46
42,23,46,49,38,6,47,28,43,49
