elegant-lightsaber-40,ancient-nerf-herder-38,holographic-fighter-36,tusken-nerf-herder-26,mythical-bantha-24,light-emperor-22,hokey-transport-21,holographic-senate-18,holographic-tauntaun-17,old-nexu-15
18,2,25,20,4,24,5,20,27,27
9,18,17,15,8,25,5,7,36,20
11,17,8,21,3,16,10,27,32,25
22,10,18,21,3,27,3,22,31,27
8,8,11,16,1,23,2,36,17,32
12,25,7,27,14,36,1,9,21,23
21,29,20,6,16,38,5,20,22,33
7,24,23,18,2,18,2,30,26,27
7,26,23,37,4,33,9,38,37,31
13,5,32,42,3,24,7,19,34,33
26,8,16,32,18,29,1,15,37,32
4,11,36,36,2,32,14,29,37,24
11,15,33,15,10,29,0,23,15,34
0,7,19,29,18,25,2,31,35,33
19,37,38,38,15,29,2,16,35,28
11,17,35,13,20,12,2,24,26,13
14,8,39,9,7,29,0,22,30,28
18,2,13,12,15,34,0,32,36,24
1,23,43,19,4,40,1,42,40,25
15,37,24,34,6,30,0,32,32,31
11,11,19,27,8,31,5,16,28,33
0,25,35,11,1,33,13,29,33,34
12,17,36,17,8,27,0,28,30,28
27,5,36,27,0,32,6,31,40,12
21,1,29,27,5,14,-1,29,37,40
4,32,22,33,1,22,14,32,34,21
12,29,37,44,9,29,3,33,42,32
8,4,32,39,1,28,13,42,28,36
7,0,41,35,-9,35,5,44,39,1
17,30,34,27,7,34,1,35,37,31
6,26,42,42,5,45,12,39,36,39
7,27,34,29,3,32,6,40,43,34
22,14,40,14,12,27,13,39,41,27
8,31,32,36,19,36,15,42,31,32
6,4,44,11,9,37,7,36,27,11
7,27,35,26,8,30,4,39,36,32
16,15,37,24,7,41,0,33,30,31
6,25,39,36,16,38,0,35,35,39
21,3,36,39,8,38,17,31,37,10
25,12,43,39,10,38,1,34,32,28
12,5,43,48,6,35,1,45,38,13
19,5,40,40,7,20,3,41,38,19
31,20,42,40,7,45,1,36,32,39
16,14,36,35,8,45,20,42,44,43
6,10,37,35,9,35,6,40,30,16
16,14,41,36,26,41,1,44,33,23
10,29,35,35,4,39,8,37,34,31
8,17,43,33,10,31,9,35,23,27
17,32,29,43,1,37,10,43,32,24
15,29,42,30,15,32,15,39,41,34
19,17,40,43,28,42,3,37,43,41
12,19,29,31,1,36,9,37,42,27
10,0,29,44,6,45,3,43,35,38
11,11,34,40,23,40,0,34,45,33
18,10,37,45,8,43,6,46,33,33
-1,19,41,35,15,35,14,34,34,36
23,21,27,35,12,37,7,41,37,38
11,19,44,31,26,42,11,34,37,45
20,41,32,36,13,40,13,40,31,41
30,29,43,44,8,36,11,42,40,43
24,27,42,43,4,41,7,40,39,40
10,5,41,33,13,38,8,47,42,42
16,8,37,44,33,33,15,44,36,34
21,14,40,34,6,41,6,37,32,37
26,0,33,40,14,39,8,47,41,35
27,40,38,33,23,39,18,40,38,25
22,15,42,40,33,47,21,46,38,48
9,27,35,47,18,47,5,40,44,22
7,24,46,28,18,45,25,37,20,31
28,9,43,40,10,40,11,38,34,33
19,36,47,40,20,39,14,37,35,38
37,23,45,40,29,34,5,40,22,42
26,27,49,42,20,43,16,39,37,39
4,10,43,43,21,44,12,44,27,33
34,0,30,39,26,42,17,32,24,45
20,8,28,39,13,36,13,34,40,27
30,19,39,44,35,41,14,43,35,24
36,14,42,45,12,36,8,39,35,42
18,26,48,39,24,42,11,44,28,33
21,24,42,46,14,38,20,38,43,20
18,16,42,37,5,33,11,43,25,40
19,38,44,36,11,40,19,32,40,42
7,21,43,38,5,43,11,40,43,29
4,15,41,30,28,32,23,31,37,39
35,14,43,36,11,40,16,37,38,41
18,30,38,35,29,37,21,34,29,36
37,23,36,44,4,37,13,43,36,35
19,26,43,25,13,42,16,40,36,41
16,10,36,47,15,43,15,39,38,42
3,40,41,34,17,44,17,46,43,38
16,22,43,35,4,48,11,42,31,40
30,36,34,32,25,40,24,45,36,38
31,28,38,31,22,37,24,39,31,37
31,17,38,40,42,42,23,44,34,47
37,12,36,29,29,45,16,46,34,41
34,-2,44,30,27,44,21,41,27,41
27,37,33,36,5,44,16,41,39,41
39,27,45,38,15,35,20,33,29,13
12,9,45,33,4,44,8,40,42,28
36,25,32,42,11,41,22,39,43,28
37,28,44,44,14,40,17,45,29,41
30,0,40,36,4,30,22,43,32,35
28,25,47,39,21,37,21,44,31,26
26,28,43,49,27,39,17,36,28,22
