robust-violet-104,azure-hill-103,zesty-cosmos-102,ancient-fire-101,swift-paper-100,restful-hill-99,zesty-frog-98,noble-monkey-97,giddy-wind-96,rare-haze-95
0.0,0.0,2.4,0.08,0.0,0.0,0.0,0.7999999999999999,0.48000000000000004,0.0
0.6,1.3199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.72,0.0,1.44,0.0,0.0,0.0,0.12000000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
0.32,4.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.32,0.0,1.3600000000000005,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3000000000000007
0.0,1.1999999999999997,0.0,0.0,0.0,0.0,0.12,0.0,3.7800000000000002,0.0
0.0,2.720000000000001,0.08,0.0,0.0,0.0,0.0,0.0,0.9800000000000005,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
1.1600000000000004,0.36,0.0,0.0,0.0,0.0,0.0,0.6,0.0,5.0
2.9600000000000013,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.280000000000002,0.54,0.16,0.0,2.2400000000000007,0.0,6.000000000000002,2.04,0.14,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0
0.0,2.4000000000000012,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
0.0,0.0,0.0,0.0,1.12,0.0,0.0,1.2000000000000002,0.0,0.0
1.2599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.36000000000000004,6.380000000000002,0.0
2.1599999999999997,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0800000000000003,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.24,0.0
0.0,2.160000000000001,0.0,0.0,0.0,0.0,3.0,3.5200000000000005,1.3600000000000003,2.0
0.0,4.480000000000001,0.48000000000000015,0.0,0.0,0.7200000000000003,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.0,0.0,1.4
5.800000000000002,0.2,0.0,0.0,0.0,0.0,0.48,1.1199999999999999,0.0,0.4200000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.9800000000000001
0.72,1.1600000000000004,0.0,0.0,0.0,3.0400000000000014,0.0,0.4000000000000001,0.0,0.0
1.5599999999999998,0.72,0.0,0.0,0.0,0.0,0.0,2.1599999999999997,1.9999999999999998,0.0
0.0,9.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
1.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.9600000000000001,0.18,2.38,1.1199999999999999
0.6,3.5999999999999983,0.0,0.0,0.0,0.0,1.760000000000001,0.0,0.0,0.0
0.0,1.2999999999999998,0.0,0.0,0.0,0.0,1.6800000000000006,0.04,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.36,0.0,0.18
1.2,0.23999999999999996,0.0,0.0,0.0,0.0,0.25999999999999995,2.56,0.72,0.0
0.0,5.800000000000002,0.0,0.16,0.0,0.0,1.12,0.0,0.9999999999999999,0.0
3.2399999999999998,2.040000000000001,0.0,0.8800000000000004,0.0,0.0,0.0,4.200000000000001,0.0,2.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
3.780000000000001,0.48000000000000015,0.0,0.0,0.0,6.480000000000004,4.199999999999999,0.6599999999999999,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.48,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.5600000000000007,0.0,3.7399999999999984,2.3800000000000012,1.5
6.760000000000003,0.0,0.0,0.0,0.0,0.0,6.72,5.600000000000001,0.0,0.0
1.6800000000000006,0.0,0.0,0.0,0.0,3.6400000000000006,2.1999999999999997,0.0,0.0,0.0
5.939999999999996,0.0,0.0,0.0,0.0,4.800000000000002,0.04,1.5999999999999999,1.36,6.000000000000001
0.5000000000000001,0.0,0.0,0.0,0.0,0.7000000000000003,1.3199999999999998,5.8800000000000034,0.0,4.7600000000000025
8.960000000000004,0.0,0.0,0.0,0.0,4.8000000000000025,3.0600000000000014,3.1199999999999988,1.9799999999999995,4.900000000000002
7.920000000000005,0.0,0.0,0.0,0.0,0.8800000000000002,0.72,5.800000000000002,0.0,4.0
6.600000000000003,0.0,0.0,0.0,0.0,6.240000000000003,0.0,0.0,2.8599999999999994,3.0
4.680000000000002,0.0,0.0,0.0,0.0,10.200000000000005,4.079999999999999,4.199999999999999,5.200000000000002,7.440000000000002
10.640000000000004,0.0,0.0,0.0,0.0,2.2400000000000007,2.58,3.079999999999999,14.0,0.0
2.5199999999999996,0.0,0.0,0.0,0.0,6.480000000000001,0.56,7.280000000000004,3.8399999999999994,0.0
6.3,0.0,0.0,0.0,0.0,3.5000000000000004,1.9999999999999998,6.459999999999999,7.280000000000004,4.480000000000001
3.3600000000000003,0.0,0.0,0.0,0.0,0.8800000000000002,3.600000000000001,5.7600000000000025,3.0599999999999996,4.320000000000001
4.380000000000001,0.0,0.0,0.0,0.0,8.400000000000004,1.9199999999999997,5.7200000000000015,6.240000000000003,0.0
3.4000000000000012,0.0,0.0,0.0,0.0,0.0,4.2,5.200000000000001,2.1000000000000005,2.7600000000000016
0.0,0.0,0.0,0.0,0.0,0.08,2.5799999999999996,2.3399999999999994,5.12,5.280000000000003
1.8000000000000007,5.0,0.0,0.0,0.0,9.000000000000002,2.2,5.4,0.0,0.0
4.6400000000000015,0.0,0.0,0.0,0.0,0.32,6.9,4.419999999999999,2.1999999999999997,6.800000000000004
4.4,3.520000000000002,0.0,0.0,0.0,9.280000000000003,1.5599999999999998,5.040000000000002,4.62,5.600000000000002
0.9600000000000003,0.8400000000000004,0.0,0.0,0.0,5.600000000000002,4.6400000000000015,2.7199999999999998,5.439999999999999,5.440000000000003
6.240000000000003,0.0,0.0,0.0,0.0,0.0,1.68,7.9200000000000035,8.4,4.7600000000000025
0.0,0.0,0.0,0.0,0.0,8.400000000000004,0.0,4.000000000000001,5.7600000000000025,12.920000000000003
0.0,0.0,0.0,0.0,0.0,8.680000000000003,3.319999999999999,5.04,9.72,3.480000000000001
2.040000000000001,0.0,0.0,0.0,0.0,8.960000000000004,3.8800000000000017,5.46,6.020000000000003,0.0
0.0,0.0,0.0,0.0,0.0,4.900000000000002,2.9400000000000004,7.040000000000002,7.9200000000000035,4.000000000000002
8.160000000000004,0.0,0.0,0.0,0.0,7.500000000000001,2.3399999999999994,2.7199999999999998,7.219999999999999,1.6200000000000006
0.7800000000000004,0.0,0.0,0.0,0.0,10.440000000000003,2.0800000000000005,5.200000000000001,8.500000000000002,0.8600000000000004
7.020000000000003,0.0,0.0,0.0,0.0,9.500000000000002,1.4399999999999997,7.500000000000001,8.640000000000002,4.480000000000001
2.220000000000001,2.220000000000001,0.0,0.0,0.0,8.580000000000004,1.0999999999999999,3.920000000000001,15.500000000000014,5.200000000000002
0.0,0.0,0.0,0.0,0.0,9.600000000000005,0.8800000000000001,7.82,13.760000000000012,2.0
4.780000000000002,0.0,0.0,0.0,0.0,9.280000000000003,1.6799999999999997,1.5600000000000005,5.12,7.920000000000005
5.040000000000002,2.720000000000001,0.0,0.0,0.0,8.360000000000003,3.8,3.0800000000000005,7.9799999999999995,11.760000000000005
2.640000000000001,5.460000000000003,0.0,0.0,0.0,5.88,3.359999999999999,4.62,9.72,2.340000000000001
0.0,1.800000000000001,1.0,0.0,0.0,10.080000000000005,1.2,6.000000000000002,6.000000000000002,13.600000000000003
0.0,3.200000000000001,0.0,0.0,0.0,5.460000000000003,3.1999999999999997,2.1000000000000005,14.80000000000001,11.040000000000004
4.560000000000001,7.480000000000005,0.0,0.0,0.0,8.840000000000005,5.000000000000001,3.6,3.7399999999999993,3.520000000000002
9.460000000000006,3.840000000000001,0.0,1.0,0.0,10.92,2.8400000000000003,8.120000000000003,5.46,10.880000000000004
10.240000000000006,4.800000000000002,0.0,0.0,0.0,9.200000000000005,1.3199999999999998,8.800000000000002,3.3600000000000008,1.8600000000000008
14.0,6.660000000000003,0.0,0.0,0.0,11.560000000000004,5.940000000000001,7.000000000000001,11.880000000000008,9.240000000000004
0.0,4.620000000000002,0.0,0.0,0.0,9.180000000000003,1.2000000000000002,1.4400000000000004,12.960000000000008,10.360000000000005
4.920000000000003,5.940000000000001,0.0,0.0,0.0,8.360000000000003,0.0,0.5000000000000001,7.9200000000000035,12.900000000000011
11.160000000000007,1.7400000000000007,0.0,0.0,0.0,8.960000000000004,2.88,8.100000000000001,17.680000000000003,14.620000000000013
6.120000000000004,4.320000000000002,0.0,0.0,0.0,9.180000000000003,0.8799999999999999,2.7000000000000006,12.800000000000008,6.960000000000002
