radiant-lake-10,mild-snowflake-9,vital-eon-8,faithful-sun-7,playful-violet-6,fine-wood-5,worthy-dawn-4,visionary-bird-3,honest-lion-2,apricot-lake-1
0.0,0.0,0.0,0.18,0.5199999999999999,0.0,0.0,0.0,0.7,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.23999999999999996,2.56,3.6,0.0,0.0,1.5599999999999998,0.0
1.800000000000001,0.0,0.0,0.0,0.0,0.8400000000000004,7.440000000000002,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0
0.0,0.0,0.0,1.5600000000000007,0.0,0.0,0.8400000000000001,0.0,0.0,0.36000000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25999999999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800000000000002,0.0
0.0,0.8000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.459999999999999,2.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.08,3.2400000000000007,0.0,0.18,0.0,0.12000000000000001,0.0
0.0,1.3200000000000005,0.0,0.0,0.0,1.9200000000000002,0.0,0.0,2.160000000000001,0.0
0.18,0.0,0.0,0.0,0.6800000000000003,0.0,0.0,2.0,0.52,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600000000000004
0.9599999999999999,3.04,0.0,0.36000000000000004,0.5000000000000001,0.0,3.079999999999999,0.0,0.7200000000000001,0.0
0.0,1.3199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.23999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.899999999999999,0.9600000000000003,1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.2400000000000004,3.2200000000000006,1.2000000000000006,0.0,0.0,0.0,0.0,4.7600000000000025,0.42000000000000004
0.7799999999999998,0.0,0.0,0.0,0.21999999999999997,2.1600000000000006,0.0,0.0,0.14,2.6600000000000015
0.0,0.0,7.0400000000000045,0.0,0.0,0.0,0.56,0.0,0.0,0.0
0.0,0.16,1.2,0.0,0.19999999999999998,0.12,0.0,0.0,0.0,0.0
0.0,0.42,0.0,0.0,0.0,1.5000000000000004,0.0,0.0,0.0,0.0
3.3599999999999985,2.7199999999999998,0.0,0.0,0.0,0.36000000000000004,0.0,0.0,0.0,0.0
1.5600000000000007,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4400000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.9599999999999999,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.42,0.0,0.0,0.14,0.0,0.0,0.0,3.120000000000002,0.1
0.0,1.5999999999999999,0.8200000000000004,0.0,0.0,6.120000000000004,3.3600000000000008,0.0,0.4,0.56
2.8000000000000007,0.08,1.5600000000000005,0.04,0.0,3.840000000000001,0.0,0.0,0.0,0.0
