worthy-plasma-94,generous-deluge-93,revived-lion-92,summer-feather-91,sandy-totem-90,misunderstood-night-89,jolly-blaze-88,wobbly-tree-87,scarlet-music-86,resilient-silence-85
0.0,0.0,0.0,0.0,0.0,2.2000000000000006,0.4400000000000001,0.0,5.699999999999999,2.5800000000000014
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040000000000001
0.0,0.0,0.0,0.0,0.0,0.0,1.5599999999999998,0.0,0.64,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
0.9400000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.3600000000000005,0.0,0.0
0.0,0.0,2.1999999999999997,0.06,0.0,0.18,0.0,0.0,0.0,0.0
1.5599999999999998,0.4799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0
0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760000000000001,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.4200000000000001,0.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,1.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.100000000000005
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36000000000000004,1.0,3.3600000000000008,0.0,1.4399999999999997,0.0,0.12000000000000001,0.0,0.0,1.9199999999999997
0.0,0.0,0.0,0.0,0.0,1.7200000000000009,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.880000000000001,0.0,0.0,0.19999999999999998,0.4000000000000001
1.4000000000000001,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0
0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.4399999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5200000000000001,0.0
0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9200000000000003
0.0,0.0,0.0,0.0,0.0,0.18,4.900000000000003,0.0,0.0,1.28
0.0,0.0,0.7000000000000001,0.0,0.0,0.48000000000000004,0.0,0.0,0.0,0.0
0.0,1.3200000000000003,3.6400000000000006,0.0,0.0,0.5199999999999999,0.0,0.0,0.0,0.0
0.0,0.0,0.14,0.0,0.0,0.6,0.9000000000000004,0.0,0.0,1.8199999999999998
5.280000000000001,0.6,1.6800000000000006,0.0,0.0,6.480000000000004,0.0,0.0,0.0,0.0
2.0000000000000004,0.0,0.0,0.0,2.24,1.5599999999999998,0.0,0.8,2.0799999999999996,3.600000000000001
0.4200000000000001,0.0,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.6599999999999999,0.0,0.0,0.0
1.6800000000000006,1.0399999999999998,0.0,5.180000000000002,0.0,0.42,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
0.7799999999999998,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.08,0.0
0.0,0.0,0.0,0.0,0.0,1.3800000000000003,0.0,0.0,0.0,0.0
0.0,3.2000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.16,0.18
1.0799999999999998,0.0,0.23999999999999996,1.5600000000000007,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,1.0000000000000002
0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,2.5000000000000004,1.02
0.23999999999999996,0.0,0.0,0.0,3.3600000000000008,3.2999999999999994,0.0,0.0,0.12,1.08
0.18,0.0,0.0,0.6600000000000003,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
6.72,0.0,2.3999999999999995,0.0,0.0,0.25999999999999995,0.0,0.0,2.2000000000000006,6.44
2.04,0.23999999999999996,0.0,7.600000000000005,0.0,0.0,0.0,0.0,0.0,2.0000000000000004
0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000017,0.0,0.0,0.0
19.800000000000008,0.0,0.0,3.440000000000001,0.0,0.0,0.0,0.0,0.0,3.6800000000000006
1.9000000000000004,1.7999999999999996,0.0,6.020000000000003,7.82,0.0,0.0,2.0,0.4400000000000001,4.0
8.0,3.520000000000001,0.0,3.5200000000000005,0.28,3.2000000000000015,0.0,0.0,0.0,6.720000000000003
2.2399999999999998,1.4000000000000006,0.16,0.7200000000000003,0.0,1.4400000000000004,3.360000000000002,0.0,0.12000000000000001,0.0
0.0,0.0,0.0,1.6800000000000006,0.12000000000000001,2.6400000000000015,0.0,0.0,1.36,1.8000000000000007
0.48000000000000015,2.6399999999999992,1.0200000000000005,0.0,1.880000000000001,0.0,0.9600000000000004,0.0,4.199999999999999,2.5000000000000004
1.02,1.12,0.6000000000000001,3.0,0.0,0.0,0.0,0.0,0.0,2.900000000000001
0.0,4.860000000000001,0.0,1.4000000000000006,0.0,1.4,0.0,0.0,0.0,4.68
8.159999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5199999999999996,0.0,0.8999999999999999,1.960000000000001,3.500000000000002,0.18,0.14,0.0,4.159999999999999,0.4400000000000001
5.88,0.0,0.0,5.1999999999999975,0.0,0.0,0.0,0.0,0.0,3.599999999999999
6.000000000000001,0.0,0.0,0.0,0.4,5.88,0.0,0.0,0.0,0.6200000000000002
0.0,0.32,1.8000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,4.320000000000002
6.9200000000000035,0.56,0.0,0.0,0.48000000000000004,0.0,0.0,0.0,0.0,2.0000000000000004
