fancy-sun-20,twilight-frog-19,hardy-blaze-18,vital-frost-17,astral-disco-16,bumbling-salad-15,usual-meadow-14,leafy-salad-13,glowing-bird-12,jolly-pyramid-11
1.0399999999999998,0.2,0.0,0.0,0.08,0.0,1.3200000000000003,0.0,0.0,0.8000000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
0.0,0.0,0.14,1.2600000000000002,0.0,0.0,0.02,1.4,0.0,0.0
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0.9800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.12000000000000001,0.96,0.0,0.0,0.0,0.0,0.0
0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,1.0799999999999998,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8400000000000005,0.5599999999999999,0.0
0.0,0.0,0.0,1.4399999999999997,0.6400000000000002,0.0,0.02,0.0,0.0,0.0
3.9199999999999986,0.0,0.0,0.0,0.0,0.4200000000000001,0.0,0.0,0.0,0.0
0.0,2.4,0.0,0.0,4.56,3.2400000000000007,0.39999999999999997,1.0,0.0,0.0
0.0,0.0,0.0,0.48000000000000015,0.0,0.0,0.96,0.6600000000000003,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0
1.2800000000000005,0.0,0.0,0.0,0.23999999999999996,0.9600000000000003,0.0,0.0,0.0,0.0
0.0,1.0400000000000003,0.0,1.9200000000000006,0.36000000000000004,0.9000000000000004,0.0,2.9400000000000017,1.5600000000000005,0.16
0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0
