warm-dawn-63,feasible-wood-57,spring-cherry-40,denim-firebrand-37,wobbly-dew-35,playful-dawn-33,sleek-violet-32,distinctive-shadow-29,silver-vortex-23,splendid-gorge-21
0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
0.0,1.12,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.18
5.460000000000003,0.0,0.0,0.0,0.5,0.0,1.4400000000000006,0.0,0.0,0.0
0.0,3.9600000000000004,0.0,0.0,0.0,1.7200000000000009,0.46000000000000013,0.0,0.0,0.0
0.0,0.24,0.0,0.0,0.5400000000000001,0.5599999999999999,0.0,0.0,0.0,0.0
0.12,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.5399999999999998,0.0,0.0,0.0,0.0
4.200000000000002,0.0,0.0,0.0,3.480000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.36000000000000004,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800000000000004
0.0,0.0,0.06,0.0,1.840000000000001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0
0.12000000000000001,0.0,0.0,0.0,1.8199999999999998,0.0,0.54,0.0,0.0,0.0
0.0,0.72,0.0,0.0,0.0,0.0,0.0,1.2000000000000004,0.0,0.0
0.0,0.0,0.0,0.0,5.8800000000000034,0.0,0.9600000000000001,0.3,0.0,0.0
0.0,6.160000000000002,0.0,0.0,1.7600000000000005,0.0,0.0,0.0,0.0,0.0
0.0,0.8400000000000003,0.0,0.0,9.360000000000005,2.4,1.8000000000000007,0.0,0.18,3.100000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000000000000002,0.0
0.0,0.02,0.0,0.0,1.800000000000001,0.6000000000000002,0.0,0.0,0.0,0.8400000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.260000000000012,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5.160000000000003,0.0,0.0,4.56,0.0,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.5600000000000005,0.0,0.64,9.360000000000007
1.8000000000000007,0.0,1.9799999999999995,0.0,4.960000000000002,0.0,0.0,7.840000000000004,0.0,0.0
0.0,0.0,0.0,0.0,5.520000000000003,0.7000000000000001,0.0,0.48000000000000004,1.6200000000000006,0.0
2.800000000000001,0.0,0.0,0.0,0.18,0.0,0.38000000000000006,0.8999999999999999,0.0,2.4000000000000012
0.0,0.0,0.0,0.0,0.0,4.800000000000002,0.0,0.0,0.0,0.0
0.0,0.06,0.14,7.9200000000000035,6.800000000000004,9.460000000000006,0.0,0.0,0.6,0.18
0.0,2.4400000000000004,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
5.580000000000002,0.0,0.0,0.0,12.60000000000001,3.2000000000000006,0.0,0.0,0.0,3.1200000000000014
0.0,1.4400000000000004,0.0,7.0,0.0,1.1999999999999997,0.0,0.0,0.18,5.040000000000003
0.0,0.0,1.5200000000000007,5.760000000000003,1.0399999999999998,2.5000000000000004,4.799999999999999,0.0,2.7,9.500000000000002
